Packet,Target
172.16.0.5[SEP]58445[SEP]192.168.50.1[SEP]4463[SEP],172.16.0.5[SEP]36908[SEP]192.168.50.1[SEP]9914[SEP]
172.16.0.5[SEP]36908[SEP]192.168.50.1[SEP]9914[SEP],172.16.0.5[SEP]41727[SEP]192.168.50.1[SEP]32361[SEP]
172.16.0.5[SEP]41727[SEP]192.168.50.1[SEP]32361[SEP],172.16.0.5[SEP]55447[SEP]192.168.50.1[SEP]5691[SEP]
172.16.0.5[SEP]55447[SEP]192.168.50.1[SEP]5691[SEP],172.16.0.5[SEP]58794[SEP]192.168.50.1[SEP]56335[SEP]
172.16.0.5[SEP]58794[SEP]192.168.50.1[SEP]56335[SEP],172.16.0.5[SEP]48002[SEP]192.168.50.1[SEP]57615[SEP]
172.16.0.5[SEP]48002[SEP]192.168.50.1[SEP]57615[SEP],172.16.0.5[SEP]51718[SEP]192.168.50.1[SEP]34159[SEP]
172.16.0.5[SEP]51718[SEP]192.168.50.1[SEP]34159[SEP],172.16.0.5[SEP]55448[SEP]192.168.50.1[SEP]12269[SEP]
172.16.0.5[SEP]55448[SEP]192.168.50.1[SEP]12269[SEP],172.16.0.5[SEP]58793[SEP]192.168.50.1[SEP]36639[SEP]
172.16.0.5[SEP]58793[SEP]192.168.50.1[SEP]36639[SEP],172.16.0.5[SEP]35276[SEP]192.168.50.1[SEP]36368[SEP]
172.16.0.5[SEP]35276[SEP]192.168.50.1[SEP]36368[SEP],172.16.0.5[SEP]60389[SEP]192.168.50.1[SEP]31463[SEP]
172.16.0.5[SEP]60389[SEP]192.168.50.1[SEP]31463[SEP],172.16.0.5[SEP]39381[SEP]192.168.50.1[SEP]53349[SEP]
172.16.0.5[SEP]39381[SEP]192.168.50.1[SEP]53349[SEP],172.16.0.5[SEP]36067[SEP]192.168.50.1[SEP]46692[SEP]
172.16.0.5[SEP]36067[SEP]192.168.50.1[SEP]46692[SEP],172.16.0.5[SEP]43351[SEP]192.168.50.1[SEP]13670[SEP]
172.16.0.5[SEP]43351[SEP]192.168.50.1[SEP]13670[SEP],172.16.0.5[SEP]37756[SEP]192.168.50.1[SEP]52783[SEP]
172.16.0.5[SEP]37756[SEP]192.168.50.1[SEP]52783[SEP],172.16.0.5[SEP]51556[SEP]192.168.50.1[SEP]38622[SEP]
172.16.0.5[SEP]51556[SEP]192.168.50.1[SEP]38622[SEP],172.16.0.5[SEP]50582[SEP]192.168.50.1[SEP]33248[SEP]
172.16.0.5[SEP]50582[SEP]192.168.50.1[SEP]33248[SEP],172.16.0.5[SEP]37710[SEP]192.168.50.1[SEP]5225[SEP]
172.16.0.5[SEP]37710[SEP]192.168.50.1[SEP]5225[SEP],172.16.0.5[SEP]45262[SEP]192.168.50.1[SEP]65248[SEP]
172.16.0.5[SEP]45262[SEP]192.168.50.1[SEP]65248[SEP],172.16.0.5[SEP]39156[SEP]192.168.50.1[SEP]20460[SEP]
172.16.0.5[SEP]39156[SEP]192.168.50.1[SEP]20460[SEP],172.16.0.5[SEP]58260[SEP]192.168.50.1[SEP]51629[SEP]
